"Type Ligne","Identifiant de l'élément","Structure","Type de l'élément","Statut de l'élément","Nom base français","Nom base anglais","Nom base espagnol","Nom attribut français","Nom attribut anglais","Nom attribut espagnol","Nom frontière français","Nom frontière anglais","Code de la catégorie","Tags français","Tags anglais","Tags espagnol","Unité français","Unité anglais","Contributeur","Autres Contributeurs","Programme","Url du programme","Source","Localisation géographique","Sous-localisation géographique français","Sous-localisation géographique anglais","Sous-localisation géographique espagnol","Date de création","Date de modification","Période de validité","Incertitude","Réglementations","Transparence","Qualité","Qualité TeR","Qualité GR","Qualité TiR","Qualité C","Qualité P","Qualité M","Commentaire français","Commentaire anglais","Type poste","Nom poste français","Nom poste anglais","Nom poste espagnol","Total poste non décomposé","CO2f","CH4f","CH4b","N2O","Code gaz supplémentaire 1","Valeur gaz supplémentaire 1","Code gaz supplémentaire 2","Valeur gaz supplémentaire 2","Valeur gaz supplémentaire 3","Valeur gaz supplémentaire 4","Code gaz supplémentaire 5","Valeur gaz supplémentaire 5","Autres GES","CO2b"
"Elément","23167","élément non décomposé","Données source","Valide générique","Résidentiel, maison",,,"construites avant 1975",,,"consommation moyenne annuelle - GPL - chauffage",,"Statistiques territoriales > Résidentiel > Chauffage > Consommation",,,,"kWh / (m².an)","kWh / (m².an)","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,139,,,,,,,,,,,,,,
"Elément","23229","élément non décomposé","Données source","Valide générique","Résidentiel, maison",,,"construites avant 1975",,,"consommation moyenne annuelle - GPL - ECS",,"Statistiques territoriales > Résidentiel > Eau chaude sanitaire > Consommation",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,2384,,,,,,,,,,,,,,
"Elément","23246","élément non décomposé","Données source","Valide générique","Résidentiel, maison",,,"construites avant 1975",,,"consommation moyenne annuelle - GPL - ECS",,"Statistiques territoriales > Résidentiel > Eau chaude sanitaire > Consommation",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"Outre-mer","Guyane","Guyane",,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,666,,,,,,,,,,,,,,
"Elément","23247","élément non décomposé","Données source","Valide générique","Résidentiel, maison",,,"construites avant 1975",,,"consommation moyenne annuelle - GPL - ECS",,"Statistiques territoriales > Résidentiel > Eau chaude sanitaire > Consommation",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"Outre-mer","La Réunion","La Réunion",,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,954,,,,,,,,,,,,,,
"Elément","23248","élément non décomposé","Données source","Valide générique","Résidentiel, maison",,,"construites avant 1975",,,"consommation moyenne annuelle - GPL - ECS",,"Statistiques territoriales > Résidentiel > Eau chaude sanitaire > Consommation",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"Outre-mer","Guadeloupe","Guadeloupe",,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,774,,,,,,,,,,,,,,
"Elément","23249","élément non décomposé","Données source","Valide générique","Résidentiel, maison",,,"construites avant 1975",,,"consommation moyenne annuelle - GPL - ECS",,"Statistiques territoriales > Résidentiel > Eau chaude sanitaire > Consommation",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"Outre-mer","Martinique","Martinique",,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,475,,,,,,,,,,,,,,
"Elément","23250","élément non décomposé","Données source","Valide générique","Résidentiel, maison",,,"construites avant 1975",,,"consommation moyenne annuelle - GPL - ECS",,"Statistiques territoriales > Résidentiel > Eau chaude sanitaire > Consommation",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"Outre-mer","Nouvelle-Calédonie","Nouvelle-Calédonie",,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,664,,,,,,,,,,,,,,
"Elément","23296","élément non décomposé","Données source","Valide générique","Résidentiel, maison",,,"construites avant 1975",,,"consommation moyenne annuelle - toute énergie confondue",,"Statistiques territoriales > Résidentiel > Consommation totale",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"Outre-mer","La Réunion","La Réunion",,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,1937,,,,,,,,,,,,,,
"Elément","23297","élément non décomposé","Données source","Valide générique","Résidentiel, maison",,,"construites avant 1975",,,"consommation moyenne annuelle - toute énergie confondue",,"Statistiques territoriales > Résidentiel > Consommation totale",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"Outre-mer","Guadeloupe","Guadeloupe",,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,2934,,,,,,,,,,,,,,
"Elément","23298","élément non décomposé","Données source","Valide générique","Résidentiel, maison",,,"construites avant 1975",,,"consommation moyenne annuelle - toute énergie confondue",,"Statistiques territoriales > Résidentiel > Consommation totale",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"Outre-mer","Martinique","Martinique",,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,2762,,,,,,,,,,,,,,
"Elément","23299","élément non décomposé","Données source","Valide générique","Résidentiel, maison",,,"construites avant 1975",,,"consommation moyenne annuelle - toute énergie confondue",,"Statistiques territoriales > Résidentiel > Consommation totale",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"Outre-mer","Guyane","Guyane",,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,2463,,,,,,,,,,,,,,
"Elément","23300","élément non décomposé","Données source","Valide générique","Résidentiel, maison",,,"construites avant 1975",,,"consommation moyenne annuelle - toute énergie confondue",,"Statistiques territoriales > Résidentiel > Consommation totale",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"Outre-mer","Nouvelle-Calédonie","Nouvelle-Calédonie",,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,3584,,,,,,,,,,,,,,
