# Defra / University of Leeds, UK and England's carbon footprint to 2023: spend-based emissions multipliers 1997 to 2023,
# sheet GHG_SIC_multipliers (kg CO2e per GBP at current basic prices, excl. VAT), years 2015-2023, rounded to 6 significant figures.
# Source file: https://assets.publishing.service.gov.uk/media/6a3ce5fa33bc5beefd3c4983/spend_based_emissions_multipliers_1997_to_2023.ods
# (published 30 June 2026; sha256 f694d0e5bf7161bb01cb35eb7418dbf21af37fabc7df66ce4696b1dde364b389). Open Government Licence v3.0.
# Columns: SIC code | SIC category | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023
25OTHER|Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9|0.763948|0.724525|0.707877|0.682112|0.654987|0.698165|0.735389|0.623132|0.567727
26|Computer, electronic and optical products|0.535322|0.457356|0.415371|0.421018|0.451675|0.513811|0.50788|0.552986|0.53641
27|Electrical equipment|1.32042|0.996494|0.864556|0.892808|0.824412|0.906301|0.876771|0.894377|0.842774
28|Machinery and equipment n.e.c.|0.613879|0.595988|0.522511|0.501813|0.518877|0.575953|0.578147|0.542311|0.511555
29|Motor vehicles, trailers and semi-trailers|0.637655|0.551869|0.526612|0.525787|0.50863|0.496563|0.549201|0.515147|0.463458
30.1|Ships and boats|0.313479|0.384382|0.2236|0.364826|0.323814|0.317448|0.33628|0.323092|0.282493
30.3|Air and spacecraft and related machinery|0.563311|0.441965|0.399231|0.460973|0.411883|0.408088|0.416237|0.388064|0.389223
30OTHER|Other transport equipment - 30.2/4/9|0.370336|0.312139|0.398135|0.382982|0.407676|0.425642|0.412433|0.428595|0.360256
31|Furniture|0.651861|0.68581|0.552253|0.544178|0.546303|0.60654|0.600777|0.545677|0.49549
32|Other manufactured goods|0.971767|0.864074|0.730832|0.710225|0.684479|0.769178|0.707216|0.703065|0.67801
33.15|Repair and maintenance of ships and boats|0.325099|0.295298|0.226175|0.223796|0.233966|0.238782|0.219804|0.169764|0.133555
33.16|Repair and maintenance of aircraft and spacecraft|0.330993|0.316683|0.225548|0.248319|0.245092|0.179194|0.130844|0.115351|0.0933523
33OTHER|Rest of repair; Installation - 33.11-14/17/19/20|0.402931|0.363958|0.334783|0.341856|0.363825|0.402237|0.381447|0.307303|0.265701
35.1|Electricity, transmission and distribution|3.02232|2.52501|2.35234|2.16571|1.98753|1.847|1.85913|1.43389|1.17676
35.2-3|Gas; distribution of gaseous fuels through mains; steam and air conditioning supply|2.50544|2.13265|1.90688|1.76197|1.61072|1.52324|1.52935|1.25548|1.13841
36|Natural water; water treatment and supply services|0.331497|0.255045|0.237792|0.213306|0.211521|0.213178|0.227089|0.234271|0.203288
37|Sewerage services; sewage sludge|0.447484|0.428982|0.398993|0.385569|0.374495|0.362793|0.385962|0.388455|0.353127
38|Waste collection, treatment and disposal services; materials recovery services|2.1566|2.27617|2.03486|1.97751|1.87788|1.80187|1.37097|1.28564|1.30688
39|Remediation services and other waste management services|0.157595|0.351479|0.262486|0.212872|0.2265|0.282856|0.247841|0.22637|0.252942
41.2|Buildings and building construction works|0.377471|0.324404|0.313887|0.301552|0.277376|0.31007|0.281663|0.25868|0.231865
42.1-2|Constructions and construction works for civil engineering|0.454182|0.393484|0.371386|0.357808|0.350593|0.367664|0.334596|0.311372|0.26547
42.99|Specialised construction works|0.378104|0.324564|0.304843|0.292627|0.285872|0.296418|0.276935|0.258251|0.216944
45|Wholesale and retail trade and repair services of motor vehicles and motorcycles|0.277244|0.364902|0.350779|0.355533|0.314523|0.312931|0.299706|0.271547|0.267447
46|Wholesale trade services, except of motor vehicles and motorcycles|8.79606|9.2344|8.40165|8.91749|6.14297|5.91838|5.62463|5.2295|4.51621
47|Retail trade services, except of motor vehicles and motorcycles|0.391793|0.362937|0.336887|0.336366|0.334106|0.311868|0.316082|0.287694|0.271905
49.1-2|Rail transport services|0.554094|0.531621|0.465658|0.461846|0.436464|1.19038|0.942001|0.454919|0.4234
49.3-5|Land transport services and transport services via pipelines, excluding rail transport|0.77814|0.742047|0.761502|0.738569|0.678821|0.762808|0.733505|0.619472|0.574881
50|Water transport services|1.97533|2.14432|1.7409|1.71078|1.68944|2.16339|1.59267|1.21549|0.969026
51|Air transport services|2.76136|2.07379|1.91466|1.94256|1.85855|1.61502|1.56074|1.45337|1.46881
52|Warehousing and support services for transportation|0.377312|0.461558|0.423887|0.420983|0.390169|0.425793|0.414435|0.376691|0.351246
53|Postal and courier services|0.315695|0.31288|0.283807|0.277657|0.247264|0.240574|0.248362|0.242329|0.22399
55|Accommodation services|0.421116|0.30788|0.432952|0.39343|0.368894|0.395676|0.32261|0.299626|0.289716
56|Food and beverage serving services|0.407122|0.382832|0.316072|0.320843|0.308678|0.333246|0.322805|0.285239|0.259553
58|Publishing services|0.128644|0.119829|0.125361|0.118712|0.114582|0.103274|0.104053|0.10828|0.0948979
59|Motion picture, video and TV programme production services, sound recording & music publishing|0.152186|0.138809|0.149716|0.130298|0.135925|0.141432|0.131874|0.140213|0.132818
60|Programming and broadcasting services|0.157478|0.18658|0.204442|0.195639|0.185268|0.200909|0.208045|0.238072|0.216442
61|Telecommunications services|0.135507|0.107505|0.109558|0.105937|0.0930132|0.101844|0.0988101|0.10392|0.0946355
62|Computer programming, consultancy and related services|0.160873|0.139048|0.131404|0.129901|0.11635|0.118376|0.12263|0.110929|0.0999177
63|Information services|0.133337|0.101068|0.137154|0.145367|0.119746|0.117838|0.123712|0.110442|0.0798774
64|Financial services, except insurance and pension funding|0.109583|0.126403|0.125973|0.113963|0.0987315|0.0956505|0.106126|0.0951642|0.0843499
65.1-2|Insurance, reinsurance and pension funding services, except compulsory social security|0.10565|0.100798|0.0812869|0.0783692|0.0774997|0.0773315|0.0750034|0.0671249|0.0614152
65.3|Pension funding services|0.000181073|0.000215823|0.000113664|0.000166694|9.71112e-05|0.000861747|0.00102929|0.00104819|0.000925277
66|Services auxiliary to financial services and insurance services|0.125066|0.117763|0.111435|0.0856672|0.0850348|0.079624|0.0716243|0.0691902|0.0674453
68.12|Real estate services, excluding on a fee or contract basis and imputed rent|0.144697|0.147077|0.329428|0.173459|0.147577|0.121108|0.139242|0.178175|0.176763
68.2IMP|Owner-Occupiers' Housing Services|0.0567429|0.0529158|0.0464637|0.0378651|0.0358591|0.0420203|0.0400445|0.0333801|0.0268224
68.3|Real estate services on a fee or contract basis|0.112615|0.119792|0.104615|0.101038|0.088393|0.0954764|0.102058|0.0918186|0.0828273
69.1|Legal services|0.0726316|0.0703459|0.0666284|0.0577936|0.0592967|0.0606136|0.0516131|0.0552208|0.0459236
69.2|Accounting, bookkeeping and auditing services; tax consulting services|0.0649008|0.0702644|0.0689921|0.0798858|0.0727456|0.072992|0.0516276|0.0524547|0.0502275
70|Services of head offices; management consulting services|0.105647|0.11536|0.124144|0.120043|0.121162|0.121299|0.100203|0.0889489|0.0811877
71|Architectural and engineering services; technical testing and analysis services|0.181675|0.177433|0.174076|0.173514|0.187583|0.210125|0.186765|0.173943|0.161718
72|Scientific research and development services|0.263666|0.253241|0.234087|0.227871|0.231711|0.221871|0.213692|0.173843|0.151877
